book,author,urls,text
Игра с огнем, Анна Джейн,https://enjoybooks.pw/igra-s-ognem/,"Она безответно и безнадежно влюблена в главного красавчика университета – популярного и желанного парня, на прозвище Смерч. Самая обычная, простая … "
Отара уходит на ветер, Алексей Васильевич Леснянский,https://enjoybooks.pw/otara-uhodit-na-veter/,Потрясающая повесть о двух молодых парнях пастухах. Однажды они теряют свою отару овец и им предстоят нелегкие поиски. Чабаны даже … 
Клеймо, Сесилия Ахерн,https://enjoybooks.pw/klejmo/,"Главная героиня этого фантастического романа – Селестина Норт. Молодая, красивая, умная девушка, идеальная во всем, пример для подражания. Ее очень … "
Миндальное сердце, Черстин Лундберг Хан,https://enjoybooks.pw/mindalnoe-serdtse/,"Мир глазами ребенка – не только сказочный и волшебный. В нем бывает непонимание взрослых, неисполненные желания, внезапные изменения, необъяснимые малышу. … "
Искушение Тьюринга, Давид Лагеркранц,https://enjoybooks.pw/iskushenie-tyuringa/,"Захватывающее произведение известного шведского писателя и журналиста представлено в жанре шпионские детективы и принадлежит серии «DETECTED. Тайна, покорившая мир». Книга … "
Странная практика, Вивиан Шоу,https://enjoybooks.pw/strannaya-praktika/,"Оказывается, книжные чудовища живут возле нас: вампиры, оборотни, упыри, мумии. Но знает об этом лишь врач, унаследовавший дело знаменитого отца … "
Квартирантка с двумя детьми, Роман Валерьевич Сенчин,https://enjoybooks.pw/kvartirantka-s-dvumya-detmi/,"Увлекательный сборник современного отечественного прозаика, литературного критика и рок-музыканта представлен в жанре современная русская литература. Произведение имеет возрастное ограничение и … "
Хиппи, Пауло Коэльо,https://enjoybooks.pw/hippi/,Автобиографическая книга культового бразильского писателя затрагивает тему свободного и потерянного поколения. У многих она вызовет приятную ностальгию за временами хиппи. … 
Революция. Как построить крупнейший онлайн-банк в мире, Олег Юрьевич Тиньков,https://enjoybooks.pw/revolyutsiya-kak-postroit-krupnejshij-onlajn-bank-v-mire/,Уже больше десяти лет существует детище Олега Тинькова – «Тинькофф Банк» – за которые оно успело перерасти в крупнейший онлайн-банк … 
"Танцуй для меня, учительница!", Ясмина Сапфир,https://enjoybooks.pw/tantsuj-dlya-menya-uchitelnitsa/,Увлекательное произведение написано в жанре любовное фэнтези и является одной из книг серии «Космосаги». В основе сюжета – необычная женщина … 
Лекция «Открытый урок. Любовь», Дмитрий Быков,https://enjoybooks.pw/lektsiya-otkrytyj-urok-lyubov/,"Произведение известного русского писателя, публициста, литературного критика, журналиста, преподавателя, радио и телеведущего написано в жанре документальная литература. Книга является завершающей … "
Маленькая красная записная книжка, София Лундберг,https://enjoybooks.pw/malenkaya-krasnaya-zapisnaya-knizhka/,"Трогательное произведение о 96-летней шведке Дорис придется по душе женщинам, любого возраста. Здесь рассказана удивительная история насыщенной жизни, наполненной приключениями, … "
Знак Хаоса, Роджер Желязны,https://enjoybooks.pw/znak-haosa/,"Восьмая книга из цикла «Хроники Амбера» продолжает подогревать интерес читателей к Вселенной с параллельными мирами порядка и хаоса, путешествовать между … "
Смерть приходит в конце. День поминовения. Лощина, Агата Кристи,https://enjoybooks.pw/loshhina/,Детективные романы о харизматичном сыщике Эркюле Пуаро давно стали любимыми для почитателей этого жанра. Таинственное убийство доктора Кристоу на поместье … 
Пропащие души, Алисса Эмбри Шварц,https://enjoybooks.pw/propashhie-dushi/,"Увлекательный роман двух популярных писательниц особенно понравится любителям жанра «триллеры». В основе захватывающего сюжета – история пятерки старшеклассников, каждый из … "
Гнездо перелетного сфинкса, Дарья Донцова,https://enjoybooks.pw/gnezdo-pereletnogo-sfinksa/,Увлекательный роман популярной современной российской писательницы принадлежит захватывающей серии «Джентельмен сыска Иван Подушкин» и представлен в детективном жанре. В основе … 
Солнце тоже звезда, Никола Юн,https://enjoybooks.pw/solntse-tozhe-zvezda/,"Невероятно яркий пример качественного любовного романа, в котором романтика сочетается с глубокими философскими мыслями о традициях, влиянии судьбы на происходящее, … "
"Обняться, чтобы уцелеть", Олег Юрьевич Рой,https://enjoybooks.pw/obnyatsya-chtoby-utselet/,"Леонид Голубев имеет много лет опыта за плечами: в пятьдесят семь лет – успешное продвижение в должности, имя, богатство. Однако, … "
